Event,I_Injected(pA),Event start ,Event end ,Ramp_start,Ramp_end,filename,state
1.0,25.0,1731.19995117187,1734.80004882812,1080.0,2080.0,S1C5 14042025.xlsx,Pre
1.0,25.0,1962.5,1966.59997558593,1080.0,2080.0,S1C5 14042025.xlsx,Pre
2.0,35.0,1610.09997558593,1613.80004882812,1080.0,2080.0,S1C5 14042025.xlsx,Pre
2.0,35.0,1734.0,1738.09997558593,1080.0,2080.0,S1C5 14042025.xlsx,Pre
2.0,35.0,1816.90002441406,1821.40002441406,1080.0,2080.0,S1C5 14042025.xlsx,Pre
2.0,35.0,1890.80004882812,1895.59997558593,1080.0,2080.0,S1C5 14042025.xlsx,Pre
2.0,35.0,1982.40002441406,1987.40002441406,1080.0,2080.0,S1C5 14042025.xlsx,Pre
2.0,35.0,2067.30004882812,2072.5,1080.0,2080.0,S1C5 14042025.xlsx,Pre
3.0,45.0,1549.19995117187,1552.80004882812,1080.0,2080.0,S1C5 14042025.xlsx,Pre
3.0,45.0,1656.19995117187,1660.59997558593,1080.0,2080.0,S1C5 14042025.xlsx,Pre
3.0,45.0,1736.5,1741.09997558593,1080.0,2080.0,S1C5 14042025.xlsx,Pre
3.0,45.0,1808.0,1812.90002441406,1080.0,2080.0,S1C5 14042025.xlsx,Pre
3.0,45.0,1874.80004882812,1880.19995117187,1080.0,2080.0,S1C5 14042025.xlsx,Pre
3.0,45.0,1934.59997558593,1939.90002441406,1080.0,2080.0,S1C5 14042025.xlsx,Pre
3.0,45.0,1985.90002441406,1991.5,1080.0,2080.0,S1C5 14042025.xlsx,Pre
3.0,45.0,2036.5,2042.5,1080.0,2080.0,S1C5 14042025.xlsx,Pre
4.0,55.0,1442.69995117187,1446.30004882812,1080.0,2080.0,S1C5 14042025.xlsx,Pre
4.0,55.0,1519.09997558593,1523.30004882812,1080.0,2080.0,S1C5 14042025.xlsx,Pre
4.0,55.0,1596.09997558593,1600.69995117187,1080.0,2080.0,S1C5 14042025.xlsx,Pre
4.0,55.0,1663.09997558593,1668.0,1080.0,2080.0,S1C5 14042025.xlsx,Pre
4.0,55.0,1727.30004882812,1732.59997558593,1080.0,2080.0,S1C5 14042025.xlsx,Pre
